"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_0805_2012Metric";1;"10k";;;
2;"R5";"R_0805_2012Metric";1;"27k";;;
3;"J2,J4,J6,J5,J3,J1";"KEYSTONE-1042";6;"KEYSTONE-1042";;;
4;"Ref**";"battery_version";1;"Val**";;;
5;"H3,H4,H2,H1";"MountingHole_3.2mm_M3_DIN965_PadMOD";4;"MountingHole_Pad";;;
6;"Ref**";"pycubed_logo";1;"Val**";;;
7;"REF**,REF**,REF**,REF**,REF**,REF**";"Fiducial_0.75mm_Mask1.5mm";6;"Fiducial_0.75mm_Mask1.5mm";;;
8;"TH1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical";1;"Thermistor";;;
9;"J12";"PinHeader_1x01_P1.00mm_Vertical";1;"Screw_Terminal_01x01";;;
10;"TP4,TP3,TP2,TP1";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";4;"TestPoint";;;
11;"C3,C4,C2,C1";"C_0603_1608Metric";4;"0.1uF";;;
12;"R4";"R_0603_1608Metric";1;"1K";;;
13;"R2,R1";"R_0603_1608Metric";2;"330";;;
14;"R3";"R_2512_6332Metric";1;"0.01";;;
15;"Q2,Q1";"SOIC-8_3.9x4.9mm_P1.27mm";2;"IRF7458";;;
16;"U1";"SOT95P280X130-6N";1;"R5460N233AF";;;
17;"J7,J8,J10";"Molex_Pico-Lock_503763-0291_1x02-1MP_P1.00m_Horizontal";3;"Conn_01x02_Female";;;
18;"J9,J11";"Molex_Pico-Lock_503763-0491_1x04-1MP_P1.00mm_Horizontal";2;"Conn_01x04_Female";;;
19;"U2";"TMP36FSZ-REEL";1;"TMP36FSZ-REEL";;;
